City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
194,Caravelas,-17.7125,-39.2481,74.21,88,77,6.15,BR,broken clouds
195,Skjervoy,70.0311,20.9714,44.6,79,100,17.29,NO,light rain
196,Mlonggo,-6.5333,110.7,87.55,59,99,5.48,ID,overcast clouds
197,Lake Charles,30.2131,-93.2044,68.02,90,0,3.44,US,clear sky
198,Cherskiy,68.75,161.3,30.34,96,100,11.68,RU,light snow
199,Kamwenge,0.1866,30.4539,58.55,97,71,0.83,UG,broken clouds
200,Bengkulu,-3.8004,102.2655,82.62,67,20,4.07,ID,few clouds
201,Bambous Virieux,-20.3428,57.7575,73.22,78,75,12.66,MU,broken clouds
202,Vermilion,40.1667,-87.7506,67.55,30,100,6.44,US,overcast clouds
203,Gebog,-6.735,110.8444,86.07,59,100,9.01,ID,overcast clouds
204,Tiksi,71.6872,128.8694,24.98,83,100,15.5,RU,light snow
205,Wanning,18.8003,110.3967,82.53,82,14,8.28,CN,few clouds
206,Mnogovershinnyy,53.9353,139.9242,32.74,61,100,15.59,RU,overcast clouds
207,Port-Cartier,50.0334,-66.8654,48.42,94,99,2.08,CA,overcast clouds
208,Broken Hill,-31.95,141.4333,79.57,21,0,14.99,AU,clear sky
209,Namibe,-15.1961,12.1522,61.68,90,55,6.2,AO,broken clouds
210,Tongliao,43.6125,122.2653,47.82,25,100,6.8,CN,overcast clouds
211,Tautira,-17.7333,-149.15,76.53,71,78,22.95,PF,broken clouds
212,Floro,61.5996,5.0328,51.76,82,100,31.07,NO,overcast clouds
213,Cabedelo,-6.9811,-34.8339,75.87,87,17,9.37,BR,few clouds
214,Saint Anthony,45.0205,-93.218,63.72,85,0,5.75,US,clear sky
215,Faya,18.3851,42.4509,68.11,32,40,6.58,SA,scattered clouds
216,Alugan,12.2188,125.4808,83.48,78,36,6.87,PH,light rain
217,Manaus,-3.1019,-60.025,84.69,70,0,5.75,BR,clear sky
218,Barwani,22.0333,74.9,82.54,54,88,1.32,IN,overcast clouds
219,Maragogi,-9.0122,-35.2225,75.45,90,6,7.87,BR,clear sky
220,Fortuna,40.5982,-124.1573,58.35,87,63,4.61,US,broken clouds
